entry_id	path	kind	hash
plan	.plans/reviewer-oracle-evidence-hardening/plan-description.md	plan	9a0d8b8e197f63bed4b52abe3c972c2ec4295291e3ecc3cd02a1ad677f0aa8c0
goal:01-lossless-finding-contract	.plans/reviewer-oracle-evidence-hardening/01-lossless-finding-contract/goal.md	goal	72b0f735c00ce4f8adfabbc65aca2e7cab7e523696a6525bc11bf98f881e5fb4
goal:02-authority-and-provenance	.plans/reviewer-oracle-evidence-hardening/02-authority-and-provenance/goal.md	goal	700f1aeb260b28a80b28c7531231636be6dff88f78910d3307ab024665247f5b
goal:03-end-to-end-proof	.plans/reviewer-oracle-evidence-hardening/03-end-to-end-proof/goal.md	goal	d9e7a23e4ce5fd81d0af8fa02434af06d3dfcc74bfee73b18c8ce813db5f4eed
step:01-lossless-finding-contract/01-step-preserve-finding-envelope	.plans/reviewer-oracle-evidence-hardening/01-lossless-finding-contract/steps/01-step-preserve-finding-envelope.md	step	d74e50bd18cc75c9882886f31e49fa50bce4c34d8153fdd6504c249e176b459c
step:01-lossless-finding-contract/02-step-validate-finding-envelope	.plans/reviewer-oracle-evidence-hardening/01-lossless-finding-contract/steps/02-step-validate-finding-envelope.md	step	bc4285bb060d88924273981d05466bb77b0e86b6424533100be7b641d6b2adea
step:01-lossless-finding-contract/03-step-specify-reviewer-schema	.plans/reviewer-oracle-evidence-hardening/01-lossless-finding-contract/steps/03-step-specify-reviewer-schema.md	step	0fe2219dccafc2596c54011ced4d5b6c5d44f5fde9c937cc89da8979c05a41fb
step:01-lossless-finding-contract/04-step-document-finding-contract	.plans/reviewer-oracle-evidence-hardening/01-lossless-finding-contract/steps/04-step-document-finding-contract.md	step	8f24d2e7f2fa85bbdc6881cde4ee97f81b825d117b24110550b26285ccb08687
step:01-lossless-finding-contract/05-step-contract-regression	.plans/reviewer-oracle-evidence-hardening/01-lossless-finding-contract/steps/05-step-contract-regression.md	step	a603acec4a5db3631f58c4136b1205bf3bdf2c82c401582a1a7e8eecf1536766
step:02-authority-and-provenance/01-step-separate-reviewer-authority	.plans/reviewer-oracle-evidence-hardening/02-authority-and-provenance/steps/01-step-separate-reviewer-authority.md	step	a27e31b3cfd91e9c36a05d293da42b9f43bc8ac60919f2039a2a66000c8550ee
step:02-authority-and-provenance/02-step-record-provenance	.plans/reviewer-oracle-evidence-hardening/02-authority-and-provenance/steps/02-step-record-provenance.md	step	ff51d39c74b74e146e26635c4d1605a8c2913e3bc428ac4b3598fd4cb58476f6
step:02-authority-and-provenance/03-step-update-analysis-contract	.plans/reviewer-oracle-evidence-hardening/02-authority-and-provenance/steps/03-step-update-analysis-contract.md	step	4a46fe80dff7d20c87b043b0c3a12bae43a6f3b2f908500438beaead1ffa6dce
step:02-authority-and-provenance/04-step-authority-regression	.plans/reviewer-oracle-evidence-hardening/02-authority-and-provenance/steps/04-step-authority-regression.md	step	b8423abea93b0c4cd70c1a4efd6f2e8ae758d0edaa9e0bc53d22af4612d1c214
step:02-authority-and-provenance/05-step-validate-approval-identity	.plans/reviewer-oracle-evidence-hardening/02-authority-and-provenance/steps/05-step-validate-approval-identity.md	step	645e1b911a9fb30a8acf42a3684055d8d54426b75a650f928a62fbf42d17f3e2
step:02-authority-and-provenance/06-step-bind-reviewer-session	.plans/reviewer-oracle-evidence-hardening/02-authority-and-provenance/steps/06-step-bind-reviewer-session.md	step	38d290ad4cd2ef78987458ba9c148c8e000d03db2d5b40291eab1773c4eed97f
step:03-end-to-end-proof/01-step-test-consolidated-finding	.plans/reviewer-oracle-evidence-hardening/03-end-to-end-proof/steps/01-step-test-consolidated-finding.md	step	c2606896cf39d98f585c39e40ab3047ebf7608ee0d935dea3126e068390055bb
step:03-end-to-end-proof/02-step-test-lifecycle-adapter	.plans/reviewer-oracle-evidence-hardening/03-end-to-end-proof/steps/02-step-test-lifecycle-adapter.md	step	168a134ebe8d53f240b86f9c38f790e400faf70fb637125e493ac3ca188847ce
step:03-end-to-end-proof/03-step-run-end-to-end-gate	.plans/reviewer-oracle-evidence-hardening/03-end-to-end-proof/steps/03-step-run-end-to-end-gate.md	step	8c0093674d59fcbb3b4f93eb4b27ce712eafb7b12a26f45d810473c203c85eb5
step:03-end-to-end-proof/04-step-test-setup-integration	.plans/reviewer-oracle-evidence-hardening/03-end-to-end-proof/steps/04-step-test-setup-integration.md	step	ff3e7bde0e8c24ce30f6c0e32315627c28e2789381ad53d63c0ccc6cac1728bc
step:03-end-to-end-proof/05-step-add-adapter-injection-seam	.plans/reviewer-oracle-evidence-hardening/03-end-to-end-proof/steps/05-step-add-adapter-injection-seam.md	step	acdac82abcc0815eb127edabfeb5c7345964ccca0d1d9fb76a6fe363aaf10cee
unit:W01	.plans/reviewer-oracle-evidence-hardening/01-lossless-finding-contract/steps/01-step-preserve-finding-envelope.md	unit	d74e50bd18cc75c9882886f31e49fa50bce4c34d8153fdd6504c249e176b459c
unit:W03	.plans/reviewer-oracle-evidence-hardening/01-lossless-finding-contract/steps/03-step-specify-reviewer-schema.md	unit	0fe2219dccafc2596c54011ced4d5b6c5d44f5fde9c937cc89da8979c05a41fb
unit:W04	.plans/reviewer-oracle-evidence-hardening/01-lossless-finding-contract/steps/04-step-document-finding-contract.md	unit	8f24d2e7f2fa85bbdc6881cde4ee97f81b825d117b24110550b26285ccb08687
unit:W05	.plans/reviewer-oracle-evidence-hardening/02-authority-and-provenance/steps/01-step-separate-reviewer-authority.md	unit	a27e31b3cfd91e9c36a05d293da42b9f43bc8ac60919f2039a2a66000c8550ee
unit:W08	.plans/reviewer-oracle-evidence-hardening/03-end-to-end-proof/steps/01-step-test-consolidated-finding.md	unit	c2606896cf39d98f585c39e40ab3047ebf7608ee0d935dea3126e068390055bb
unit:W10	.plans/reviewer-oracle-evidence-hardening/03-end-to-end-proof/steps/03-step-run-end-to-end-gate.md	unit	8c0093674d59fcbb3b4f93eb4b27ce712eafb7b12a26f45d810473c203c85eb5
unit:W11	.plans/reviewer-oracle-evidence-hardening/01-lossless-finding-contract/steps/05-step-contract-regression.md	unit	a603acec4a5db3631f58c4136b1205bf3bdf2c82c401582a1a7e8eecf1536766
unit:W12	.plans/reviewer-oracle-evidence-hardening/02-authority-and-provenance/steps/04-step-authority-regression.md	unit	b8423abea93b0c4cd70c1a4efd6f2e8ae758d0edaa9e0bc53d22af4612d1c214
unit:W02	.plans/reviewer-oracle-evidence-hardening/01-lossless-finding-contract/steps/02-step-validate-finding-envelope.md	unit	bc4285bb060d88924273981d05466bb77b0e86b6424533100be7b641d6b2adea
unit:W06	.plans/reviewer-oracle-evidence-hardening/02-authority-and-provenance/steps/02-step-record-provenance.md	unit	ff51d39c74b74e146e26635c4d1605a8c2913e3bc428ac4b3598fd4cb58476f6
unit:W07	.plans/reviewer-oracle-evidence-hardening/02-authority-and-provenance/steps/03-step-update-analysis-contract.md	unit	4a46fe80dff7d20c87b043b0c3a12bae43a6f3b2f908500438beaead1ffa6dce
unit:W09	.plans/reviewer-oracle-evidence-hardening/03-end-to-end-proof/steps/02-step-test-lifecycle-adapter.md	unit	168a134ebe8d53f240b86f9c38f790e400faf70fb637125e493ac3ca188847ce
unit:W14	.plans/reviewer-oracle-evidence-hardening/03-end-to-end-proof/steps/04-step-test-setup-integration.md	unit	ff3e7bde0e8c24ce30f6c0e32315627c28e2789381ad53d63c0ccc6cac1728bc
